업무구분,TR_CODE,TR_ALL,인터페이스명,HDR_DATA,순번,항목명,항목영문명,DataType,길이,필수,정의,차세대변경
세션,SCHLIQ00000,SCHLIQ00000,로그온 요청,HEADER,1,전문유형,,String,8,M,KMAPv2.0,
세션,SCHLIQ00000,SCHLIQ00000,로그온 요청,HEADER,2,메시지길이,,Long,6,M,41,
세션,SCHLIQ00000,SCHLIQ00000,로그온 요청,HEADER,3,메시지 타입,,String,11,M,SCHLIQ00000,
세션,SCHLIQ00000,SCHLIQ00000,로그온 요청,HEADER,4,일련번호,,Long,11,M,,
세션,SCHLIQ00000,SCHLIQ00000,로그온 요청,HEADER,5,회원번호,,String,5,M,,
세션,SCHLIQ00000,SCHLIQ00000,로그온 요청,HEADER,6,연계시도착 회원사 번호,,String,10,O,,
세션,SCHLIQ00000,SCHLIQ00000,로그온 요청,HEADER,7,회신시송신 회원사 번호,,String,10,O,,
세션,SCHLIQ00000,SCHLIQ00000,로그온 요청,HEADER,8,전송일시,,String,17,M,20071221091022300,
세션,SCHLIQ00000,SCHLIQ00000,로그온 요청,HEADER,9,데이터 건수,,Long,3,O,0,
세션,SCHLIQ00000,SCHLIQ00000,로그온 요청,HEADER,10,암호화 유무,,String,1,M,N,
세션,SCHLIQ00000,SCHLIQ00000,로그온 요청,DATA,1,I/F프로세스정보,,String,10,M,,
세션,SCHLIQ00000,SCHLIQ00000,로그온 요청,DATA,2,I/F프로세스고유번호,,String,30,M,,
세션,SCHLIQ00000,SCHLIQ00000,로그온 요청,DATA,3,암호화 적용여부,,String,1,M,"Y,N",
세션,SCHLIR00000,SCHLIR00000,로그온 응답,HEADER,1,전문유형,,String,8,M,KMAPv2.0,
세션,SCHLIR00000,SCHLIR00000,로그온 응답,HEADER,2,메시지길이,,Long,6,M,5,
세션,SCHLIR00000,SCHLIR00000,로그온 응답,HEADER,3,메시지 타입,,String,11,M,SCHLIR00000,
세션,SCHLIR00000,SCHLIR00000,로그온 응답,HEADER,4,일련번호,,Long,11,M,,
세션,SCHLIR00000,SCHLIR00000,로그온 응답,HEADER,5,회원번호,,String,5,M,,
세션,SCHLIR00000,SCHLIR00000,로그온 응답,HEADER,6,연계시도착 회원사 번호,,String,10,O,,
세션,SCHLIR00000,SCHLIR00000,로그온 응답,HEADER,7,회신시송신 회원사 번호,,String,10,O,,
세션,SCHLIR00000,SCHLIR00000,로그온 응답,HEADER,8,전송일시,,String,17,M,20071221091022328,
세션,SCHLIR00000,SCHLIR00000,로그온 응답,HEADER,9,데이터 건수,,Long,3,O,0,
세션,SCHLIR00000,SCHLIR00000,로그온 응답,HEADER,10,암호화 유무,,String,1,M,N,
세션,SCHLIR00000,SCHLIR00000,로그온 응답,DATA,1,거부사유코드,,String,4,M,,
세션,SCHLIR00000,SCHLIR00000,로그온 응답,DATA,2,암호화 적용여부,,String,1,M,"Y,N",
세션,SCHOPQ00000,SCHOPQ00000,업무개시 요청,HEADER,1,전문유형,,String,8,M,KMAPv2.0,
세션,SCHOPQ00000,SCHOPQ00000,업무개시 요청,HEADER,2,메시지길이,,Long,6,M,26,
세션,SCHOPQ00000,SCHOPQ00000,업무개시 요청,HEADER,3,메시지 타입,,String,11,M,SCHOPQ00000,
세션,SCHOPQ00000,SCHOPQ00000,업무개시 요청,HEADER,4,일련번호,,Long,11,M,,
세션,SCHOPQ00000,SCHOPQ00000,업무개시 요청,HEADER,5,회원번호,,String,5,M,,
세션,SCHOPQ00000,SCHOPQ00000,업무개시 요청,HEADER,6,연계시도착 회원사 번호,,String,10,O,,
세션,SCHOPQ00000,SCHOPQ00000,업무개시 요청,HEADER,7,회신시송신 회원사 번호,,String,10,O,,
세션,SCHOPQ00000,SCHOPQ00000,업무개시 요청,HEADER,8,전송일시,,String,17,M,20071221091022328,
세션,SCHOPQ00000,SCHOPQ00000,업무개시 요청,HEADER,9,데이터 건수,,Long,3,O,0,
세션,SCHOPQ00000,SCHOPQ00000,업무개시 요청,HEADER,10,암호화 유무,,String,1,M,N,
세션,SCHOPQ00000,SCHOPQ00000,업무개시 요청,DATA,1,거부사유코드,,String,4,M,,
세션,SCHOPQ00000,SCHOPQ00000,업무개시 요청,DATA,2,TR-Code,,String,11,M,,
세션,SCHOPQ00000,SCHOPQ00000,업무개시 요청,DATA,3,일련번호,,Long,11,M,,
세션,SCHOPR00000,SCHOPR00000,업무개시 응답,HEADER,1,전문유형,,String,8,M,KMAPv2.0,
세션,SCHOPR00000,SCHOPR00000,업무개시 응답,HEADER,2,메시지길이,,Long,6,M,26,
세션,SCHOPR00000,SCHOPR00000,업무개시 응답,HEADER,3,메시지 타입,,String,11,M,SCHOPR00000,
세션,SCHOPR00000,SCHOPR00000,업무개시 응답,HEADER,4,일련번호,,Long,11,M,,
세션,SCHOPR00000,SCHOPR00000,업무개시 응답,HEADER,5,회원번호,,String,5,M,,
세션,SCHOPR00000,SCHOPR00000,업무개시 응답,HEADER,6,연계시도착 회원사 번호,,String,10,O,,
세션,SCHOPR00000,SCHOPR00000,업무개시 응답,HEADER,7,회신시송신 회원사 번호,,String,10,O,,
세션,SCHOPR00000,SCHOPR00000,업무개시 응답,HEADER,8,전송일시,,String,17,M,20071221091022328,
세션,SCHOPR00000,SCHOPR00000,업무개시 응답,HEADER,9,데이터 건수,,Long,3,O,0,
세션,SCHOPR00000,SCHOPR00000,업무개시 응답,HEADER,10,암호화 유무,,String,1,M,N,
세션,SCHOPR00000,SCHOPR00000,업무개시 응답,DATA,1,거부사유코드,,String,4,M,,
세션,SCHOPR00000,SCHOPR00000,업무개시 응답,DATA,2,TR-Code,,String,11,M,,
세션,SCHOPR00000,SCHOPR00000,업무개시 응답,DATA,3,일련번호,,Long,11,M,,
세션,SCHOPQ10000,SCHOPQ10000,"업무개시 요청(체결,장운영,DropCopy 전용)",HEADER,1,전문유형,,String,8,M,KMAPv2.0,
세션,SCHOPQ10000,SCHOPQ10000,"업무개시 요청(체결,장운영,DropCopy 전용)",HEADER,2,메시지길이,,Long,6,M,116,
세션,SCHOPQ10000,SCHOPQ10000,"업무개시 요청(체결,장운영,DropCopy 전용)",HEADER,3,메시지 타입,,String,11,M,SCHOPQ10000,
세션,SCHOPQ10000,SCHOPQ10000,"업무개시 요청(체결,장운영,DropCopy 전용)",HEADER,4,일련번호,,Long,11,M,,
세션,SCHOPQ10000,SCHOPQ10000,"업무개시 요청(체결,장운영,DropCopy 전용)",HEADER,5,회원번호,,String,5,M,,
세션,SCHOPQ10000,SCHOPQ10000,"업무개시 요청(체결,장운영,DropCopy 전용)",HEADER,6,연계시도착 회원사 번호,,String,10,O,,
세션,SCHOPQ10000,SCHOPQ10000,"업무개시 요청(체결,장운영,DropCopy 전용)",HEADER,7,회신시송신 회원사 번호,,String,10,O,,
세션,SCHOPQ10000,SCHOPQ10000,"업무개시 요청(체결,장운영,DropCopy 전용)",HEADER,8,전송일시,,String,17,M,20071221091022328,
세션,SCHOPQ10000,SCHOPQ10000,"업무개시 요청(체결,장운영,DropCopy 전용)",HEADER,9,데이터 건수,,Long,3,O,0,
세션,SCHOPQ10000,SCHOPQ10000,"업무개시 요청(체결,장운영,DropCopy 전용)",HEADER,10,암호화 유무,,String,1,M,N,
세션,SCHOPQ10000,SCHOPQ10000,"업무개시 요청(체결,장운영,DropCopy 전용)",DATA,1,거부사유코드,,String,4,M,,
세션,SCHOPQ10000,SCHOPQ10000,"업무개시 요청(체결,장운영,DropCopy 전용)",DATA,2,ME그룹수,,Long,2,M,,
세션,SCHOPQ10000,SCHOPQ10000,"업무개시 요청(체결,장운영,DropCopy 전용)",DATA,3,ME그룹#01 일련번호,,Long,11,M,,
세션,SCHOPQ10000,SCHOPQ10000,"업무개시 요청(체결,장운영,DropCopy 전용)",DATA,4,ME그룹#02 일련번호,,Long,11,M,,
세션,SCHOPQ10000,SCHOPQ10000,"업무개시 요청(체결,장운영,DropCopy 전용)",DATA,5,ME그룹#03 일련번호,,Long,11,M,,
세션,SCHOPQ10000,SCHOPQ10000,"업무개시 요청(체결,장운영,DropCopy 전용)",DATA,6,ME그룹#04 일련번호,,Long,11,M,,
세션,SCHOPQ10000,SCHOPQ10000,"업무개시 요청(체결,장운영,DropCopy 전용)",DATA,7,ME그룹#05 일련번호,,Long,11,M,,
세션,SCHOPQ10000,SCHOPQ10000,"업무개시 요청(체결,장운영,DropCopy 전용)",DATA,8,ME그룹#06 일련번호,,Long,11,M,,
세션,SCHOPQ10000,SCHOPQ10000,"업무개시 요청(체결,장운영,DropCopy 전용)",DATA,9,ME그룹#07 일련번호,,Long,11,M,,
세션,SCHOPQ10000,SCHOPQ10000,"업무개시 요청(체결,장운영,DropCopy 전용)",DATA,10,ME그룹#08 일련번호,,Long,11,M,,
세션,SCHOPQ10000,SCHOPQ10000,"업무개시 요청(체결,장운영,DropCopy 전용)",DATA,11,ME그룹#09 일련번호,,Long,11,M,,
세션,SCHOPQ10000,SCHOPQ10000,"업무개시 요청(체결,장운영,DropCopy 전용)",DATA,12,ME그룹#10 일련번호,,Long,11,M,,
세션,SCHOPR10000,SCHOPR10000,"업무개시 응답(체결,장운영,DropCopy 전용)",HEADER,1,전문유형,,String,8,M,KMAPv2.0,
세션,SCHOPR10000,SCHOPR10000,"업무개시 응답(체결,장운영,DropCopy 전용)",HEADER,2,메시지길이,,Long,6,M,116,
세션,SCHOPR10000,SCHOPR10000,"업무개시 응답(체결,장운영,DropCopy 전용)",HEADER,3,메시지 타입,,String,11,M,SCHOPR10000,
세션,SCHOPR10000,SCHOPR10000,"업무개시 응답(체결,장운영,DropCopy 전용)",HEADER,4,일련번호,,Long,11,M,,
세션,SCHOPR10000,SCHOPR10000,"업무개시 응답(체결,장운영,DropCopy 전용)",HEADER,5,회원번호,,String,5,M,,
세션,SCHOPR10000,SCHOPR10000,"업무개시 응답(체결,장운영,DropCopy 전용)",HEADER,6,연계시도착 회원사 번호,,String,10,O,,
세션,SCHOPR10000,SCHOPR10000,"업무개시 응답(체결,장운영,DropCopy 전용)",HEADER,7,회신시송신 회원사 번호,,String,10,O,,
세션,SCHOPR10000,SCHOPR10000,"업무개시 응답(체결,장운영,DropCopy 전용)",HEADER,8,전송일시,,String,17,M,20071221091022328,
세션,SCHOPR10000,SCHOPR10000,"업무개시 응답(체결,장운영,DropCopy 전용)",HEADER,9,데이터 건수,,Long,3,O,0,
세션,SCHOPR10000,SCHOPR10000,"업무개시 응답(체결,장운영,DropCopy 전용)",HEADER,10,암호화 유무,,String,1,M,N,
세션,SCHOPR10000,SCHOPR10000,"업무개시 응답(체결,장운영,DropCopy 전용)",DATA,1,거부사유코드,,String,4,M,,
세션,SCHOPR10000,SCHOPR10000,"업무개시 응답(체결,장운영,DropCopy 전용)",DATA,2,ME그룹수,,Long,2,M,,
세션,SCHOPR10000,SCHOPR10000,"업무개시 응답(체결,장운영,DropCopy 전용)",DATA,3,ME그룹#01 일련번호,,Long,11,M,,
세션,SCHOPR10000,SCHOPR10000,"업무개시 응답(체결,장운영,DropCopy 전용)",DATA,4,ME그룹#02 일련번호,,Long,11,M,,
세션,SCHOPR10000,SCHOPR10000,"업무개시 응답(체결,장운영,DropCopy 전용)",DATA,5,ME그룹#03 일련번호,,Long,11,M,,
세션,SCHOPR10000,SCHOPR10000,"업무개시 응답(체결,장운영,DropCopy 전용)",DATA,6,ME그룹#04 일련번호,,Long,11,M,,
세션,SCHOPR10000,SCHOPR10000,"업무개시 응답(체결,장운영,DropCopy 전용)",DATA,7,ME그룹#05 일련번호,,Long,11,M,,
세션,SCHOPR10000,SCHOPR10000,"업무개시 응답(체결,장운영,DropCopy 전용)",DATA,8,ME그룹#06 일련번호,,Long,11,M,,
세션,SCHOPR10000,SCHOPR10000,"업무개시 응답(체결,장운영,DropCopy 전용)",DATA,9,ME그룹#07 일련번호,,Long,11,M,,
세션,SCHOPR10000,SCHOPR10000,"업무개시 응답(체결,장운영,DropCopy 전용)",DATA,10,ME그룹#08 일련번호,,Long,11,M,,
세션,SCHOPR10000,SCHOPR10000,"업무개시 응답(체결,장운영,DropCopy 전용)",DATA,11,ME그룹#09 일련번호,,Long,11,M,,
세션,SCHOPR10000,SCHOPR10000,"업무개시 응답(체결,장운영,DropCopy 전용)",DATA,12,ME그룹#10 일련번호,,Long,11,M,,
세션,SCHHEQ00000,SCHHEQ00000,회선시험 요청,HEADER,1,전문유형,,String,8,M,KMAPv2.0,
세션,SCHHEQ00000,SCHHEQ00000,회선시험 요청,HEADER,2,메시지길이,,Long,6,M,4,
세션,SCHHEQ00000,SCHHEQ00000,회선시험 요청,HEADER,3,메시지 타입,,String,11,M,SCHHEQ00000,
세션,SCHHEQ00000,SCHHEQ00000,회선시험 요청,HEADER,4,일련번호,,Long,11,M,,
세션,SCHHEQ00000,SCHHEQ00000,회선시험 요청,HEADER,5,회원번호,,String,5,M,,
세션,SCHHEQ00000,SCHHEQ00000,회선시험 요청,HEADER,6,연계시도착 회원사 번호,,String,10,O,,
세션,SCHHEQ00000,SCHHEQ00000,회선시험 요청,HEADER,7,회신시송신 회원사 번호,,String,10,O,,
세션,SCHHEQ00000,SCHHEQ00000,회선시험 요청,HEADER,8,전송일시,,String,17,M,20071221091022328,
세션,SCHHEQ00000,SCHHEQ00000,회선시험 요청,HEADER,9,데이터 건수,,Long,3,O,0,
세션,SCHHEQ00000,SCHHEQ00000,회선시험 요청,HEADER,10,암호화 유무,,String,1,M,N,
세션,SCHHEQ00000,SCHHEQ00000,회선시험 요청,DATA,1,거부사유코드,,String,4,M,,
세션,SCHHER00000,SCHHER00000,회선시험 응답,HEADER,1,전문유형,,String,8,M,KMAPv2.0,
세션,SCHHER00000,SCHHER00000,회선시험 응답,HEADER,2,메시지길이,,Long,6,M,4,
세션,SCHHER00000,SCHHER00000,회선시험 응답,HEADER,3,메시지 타입,,String,11,M,SCHHER00000,
세션,SCHHER00000,SCHHER00000,회선시험 응답,HEADER,4,일련번호,,Long,11,M,,
세션,SCHHER00000,SCHHER00000,회선시험 응답,HEADER,5,회원번호,,String,5,M,,
세션,SCHHER00000,SCHHER00000,회선시험 응답,HEADER,6,연계시도착 회원사 번호,,String,10,O,,
세션,SCHHER00000,SCHHER00000,회선시험 응답,HEADER,7,회신시송신 회원사 번호,,String,10,O,,
세션,SCHHER00000,SCHHER00000,회선시험 응답,HEADER,8,전송일시,,String,17,M,20071221091022328,
세션,SCHHER00000,SCHHER00000,회선시험 응답,HEADER,9,데이터 건수,,Long,3,O,0,
세션,SCHHER00000,SCHHER00000,회선시험 응답,HEADER,10,암호화 유무,,String,1,M,N,
세션,SCHHER00000,SCHHER00000,회선시험 응답,DATA,1,거부사유코드,,String,4,M,,
