순번,업무구분,TR_CODE,인터페이스명,전문명,길이(헤더제외),현파채권,유가,코스닥,코넥스,파생,파생야간,일반채권,소액채권,KTS,REPO,배치온라인,송수신,데이터주기,서비스,비고,차세대변경
1,세션,SCHLIQ00000,로그온 요청,,41,-,,,,,,,,,,-,-,-,-,,
2,세션,SCHLIR00000,로그온 응답,,5,-,,,,,,,,,,-,-,-,-,,
3,세션,SCHOPQ00000,업무개시 요청,,26,-,,,,,,,,,,-,-,-,-,,
4,세션,SCHOPR00000,업무개시 응답,,26,-,,,,,,,,,,-,-,-,-,,
5,세션,SCHOPQ10000,"업무개시 요청(체결,장운영,DropCopy 전용)",,116,,,,,,,,,,,,,,,,
6,세션,SCHOPR10000,"업무개시 응답(체결,장운영,DropCopy 전용)",,116,,,,,,,,,,,,,,,,
7,세션,SCHHEQ00000,회선시험 요청,,4,-,,,,,,,,,,-,-,-,-,,
8,세션,SCHHER00000,회선시험 응답,,4,-,,,,,,,,,,-,-,-,-,,
9,세션,SCHLOQ00000,로그아웃 요청,,-,-,,,,,,,,,,-,-,-,-,,
10,세션,SCHLOR00000,로그아웃 응답,,4,-,,,,,,,,,,-,-,-,-,,
11,트랜잭션(예시),해당업무 TR,주문요청,,-,-,,,,,,,,,,-,-,-,-,,
12,트랜잭션(예시),해당업무 TR,주문응답,,-,-,,,,,,,,,,-,-,-,-,,
13,트랜잭션(예시),해당업무 TR,체결,,-,-,,,,,,,,,,-,-,-,-,,
14,트랜잭션(예시),해당업무 TR,장운영,,-,-,,,,,,,,,,-,-,-,-,,
15,트랜잭션(예시),해당업무 TR,채권 Drop-Copy,,-,-,,,,,,,,,,-,-,-,-,,
16,트랜잭션(예시),해당업무 TR,신고,,-,-,,,,,,,,,,-,-,-,-,,
17,트랜잭션(예시),해당업무 TR,신고응답,,-,-,,,,,,,,,,-,-,-,-,,
18,트랜잭션(예시),해당업무 TR,조회요청,,-,-,,,,,,,,,,-,-,-,-,,
19,트랜잭션(예시),해당업무 TR,조회요청응답,,-,-,,,,,,,,,,-,-,-,-,,
20,트랜잭션(예시),해당업무 TR,조회데이터 송신,,-,-,,,,,,,,,,-,-,-,-,,
21,트랜잭션(예시),해당업무 TR,조회데이터 응답,,-,-,,,,,,,,,,-,-,-,-,,
22,트랜잭션(예시),해당업무 TR,실시간송신,,-,-,,,,,,,,,,-,-,-,-,,
23,트랜잭션(예시),해당업무 TR,일괄수신,,-,-,,,,,,,,,,-,-,-,-,,
24,트랜잭션(예시),해당업무 TR,일괄수신응답,,-,-,,,,,,,,,,-,-,-,-,,
25,트랜잭션(예시),해당업무 TR,일괄송신,,-,-,,,,,,,,,,-,-,-,-,,
26,트랜잭션(예시),해당업무 TR,일괄송신응답,,-,-,,,,,,,,,,-,-,,-,,
27,매매,TCHODR10001,호가입력,신규호가,294,현/파,O,O,O,O,O,,,,,온라인,수신,08:30~20:00,주문,애프터마켓 개설 관련 변경(데이터주기 변경),"(항목 추가) ME그룹번호, 최소체결수량, 알고리즘전략구분코드, /     거래자ID, 호가그룹번호, 자전거래방지코드 / (항목 수정) 시장조성자호가구분코드 / (항목 삭제) 프로그램호가신고구분코드 / (항목 추가) 호가조건가격,거래시장선택구분코드,공매도ID"
28,매매,TCHODR10002,,정정호가,294,현/파,O,O,O,O,O,,,,,,,,주문,애프터마켓 개설 관련 변경(데이터주기 변경),
29,매매,TCHODR10003,,취소호가,294,현/파,O,O,O,O,O,,,,,,,,주문,애프터마켓 개설 관련 변경(데이터주기 변경),
30,매매,TCHAOR10001,,경쟁대량신규호가,294,현,O,O,,,,,,,,온라인,수신,08:30 ~15:00,대량주문,애프터마켓 개설 관련 변경(데이터주기 변경),
31,매매,TCHAOR10003,,경쟁대량취소호가,294,현,O,O,,,,,,,,,,,대량주문,애프터마켓 개설 관련 변경(데이터주기 변경),
32,매매,TCHODR40001,채권일반호가입력,신규호가,254,채,,,,,,O,O,O,,온라인,수신,08:30~16:00,주문,,(항목추가) ME그룹번호
33,매매,TCHODR40002,,정정호가,254,채,,,,,,O,O,O,,,,,주문,,
34,매매,TCHODR40003,,취소호가,254,채,,,,,,O,O,O,,,,,주문,,
35,매매,TCHMOR40001,채권조성호가입력,신규호가,255,채,,,,,,O,,O,,온라인,수신,08:30~16:00,주문,,(항목추가) ME그룹번호
36,매매,TCHMOR40002,,정정호가,255,채,,,,,,O,,O,,,,,주문,,
37,매매,TCHMOR40003,,취소호가,255,채,,,,,,O,,O,,,,,주문,,
38,매매,TCHBOR10001,대량호가입력,대량신규호가,307,현,O,O,O,,,,,,,온라인,수신,08:00~20:00,대량주문,애프터마켓 개설 관련 변경(데이터주기 변경),"(항목추가) ME그룹번호 / (정의변경) 협상번호, 협상상세번호, 협상자ID, /               상대회원번호, 상대계좌번호, 협의완료시각"
39,매매,TCHBOR10003,,대량취소호가,307,현,O,O,O,,,,,,,,,,대량주문,애프터마켓 개설 관련 변경(데이터주기 변경),
40,매매,TCHBOR20001,,"협의거래(협의대량, EFP, FLEX)신규",307,현/파,O,O,O,O,O,,,,,,,,대량주문,애프터마켓 개설 관련 변경(데이터주기 변경),시장시스템구분 변경 : 파생 → 현물/파생
41,매매,TCHBOR20003,,"협의거래(협의대량, EFP, FLEX)취소",307,현/파,O,O,O,O,O,,,,,,,,대량주문,애프터마켓 개설 관련 변경(데이터주기 변경),시장시스템구분 변경 : 파생 → 현물/파생
42,매매,TCHHOR10001,장개시전 협의거래호가입력,장개시전 협의거래신규,243,파,,,,O,,,,,,온라인,수신,07:30~08:20,대량주문,,(항목추가) ME그룹번호
43,매매,TCHHOR10003,,장개시전 협의거래취소,243,파,,,,O,,,,,,,,,대량주문,,
